timestamp,worker_id,batch_size,duration_ms,total_rows_after_insert_approx
2025-05-21T20:54:04.271109,2,1000,21.70,419000
2025-05-21T20:54:04.333257,2,1000,20.97,421000
2025-05-21T20:54:04.400227,2,1000,21.17,423000
2025-05-21T20:54:04.464825,2,1000,22.30,425000
2025-05-21T20:54:04.524341,2,1000,19.41,427000
2025-05-21T20:54:04.583799,2,1000,19.32,429000
2025-05-21T20:54:04.644304,2,1000,19.49,431000
2025-05-21T20:54:04.705585,2,1000,20.36,433000
2025-05-21T20:54:04.757385,2,1000,12.71,435000
2025-05-21T20:54:04.829386,2,1000,14.09,437000
2025-05-21T20:54:04.901426,2,1000,14.91,439000
2025-05-21T20:54:04.975778,2,1000,18.27,441000
2025-05-21T20:54:05.046241,2,1000,14.50,443000
2025-05-21T20:54:05.115097,2,1000,15.39,445000
2025-05-21T20:54:05.189350,2,1000,17.91,447000
2025-05-21T20:54:05.270710,2,1000,24.54,449000
2025-05-21T20:54:05.340812,2,1000,21.20,451000
2025-05-21T20:54:05.406708,2,1000,20.07,453000
2025-05-21T20:54:05.468167,2,1000,20.59,455000
2025-05-21T20:54:05.531235,2,1000,21.69,457000
2025-05-21T20:54:05.594346,2,1000,21.83,459000
2025-05-21T20:54:05.656871,2,1000,21.54,461000
2025-05-21T20:54:05.725002,2,1000,21.49,463000
2025-05-21T20:54:05.791934,2,1000,21.63,465000
2025-05-21T20:54:05.854249,2,1000,21.44,467000
2025-05-21T20:54:05.916458,2,1000,21.54,469000
2025-05-21T20:54:05.976286,2,1000,19.79,471000
2025-05-21T20:54:06.033595,2,1000,18.44,473000
2025-05-21T20:54:06.091934,2,1000,18.63,475000
2025-05-21T20:54:06.150205,2,1000,18.68,477000
2025-05-21T20:54:06.207763,2,1000,18.67,479000
2025-05-21T20:54:06.265811,2,1000,18.87,481000
2025-05-21T20:54:06.331162,2,1000,19.59,483000
2025-05-21T20:54:06.389340,2,1000,18.79,485000
2025-05-21T20:54:06.446400,2,1000,18.68,487000
2025-05-21T20:54:06.504490,2,1000,18.56,489000
2025-05-21T20:54:06.561413,2,1000,18.40,491000
2025-05-21T20:54:06.618697,2,1000,18.27,493000
2025-05-21T20:54:06.681560,2,1000,24.05,495000
2025-05-21T20:54:06.751588,2,1000,31.75,497000
2025-05-21T20:54:06.816204,2,1000,19.52,499000
2025-05-21T20:54:06.873567,2,1000,18.63,501000
2025-05-21T20:54:06.938365,2,1000,19.58,503000
2025-05-21T20:54:06.998448,2,1000,19.90,505000
2025-05-21T20:54:07.057960,2,1000,19.99,507000
2025-05-21T20:54:07.117696,2,1000,20.13,509000
2025-05-21T20:54:07.177562,2,1000,20.11,511000
2025-05-21T20:54:07.241943,2,1000,25.28,513000
2025-05-21T20:54:07.301989,2,1000,20.28,515000
